Manufacturer,Model,Description,Transmission,Manual or Automatic,Engine Capacity,Fuel Type,Powertrain,Engine Power (PS),Engine Power (Kw),Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Euro Standard,Diesel VED Supplement,Testing Scheme,WLTP Imperial Low,WLTP Imperial Medium,WLTP Imperial High,WLTP Imperial Extra High,WLTP Imperial Combined,WLTP Imperial Combined (Weighted),WLTP Metric Low,WLTP Metric Medium,WLTP Metric High,WLTP Metric Extra High,WLTP Metric Combined,WLTP Metric Combined (Weighted),WLTP CO2,WLTP CO2 Weighted,Equivalent All Electric Range Miles,Equivalent All Electric Range KM,Electric Range City Miles,Electric Range City Km,Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],RDE NOx Urban,RDE NOx Combined,Noise Level dB(A),Date of change,
BMW,X1,X1 xDrive30e M Sport,A7,Automatic,1499,Electricity / Petrol,Plug-in Hybrid Electric Vehicle (PHEV),326,240,3.7,168,,,Euro 6 EA,False,WLTP,0,0,0,0,0,353.1,0,0,0,0,0,0.8,0,21,52,83,,98,140,11,15,,0.41,,,65.0,26 November 2025,
BMW,X1,X1 M35i xDrive,A7,Automatic,1998,Petrol,Internal Combustion Engine (ICE),300,221,,,,,Euro 6 EC,False,WLTP,25.2,34.4,39.7,34.8,34.4,0,11.2,8.2,7.1,8.1,8.2,0,175,0,,,,,85,9,12,,0.72,,,67.0,26 November 2025,
BMW,X1,X1 M35i xDrive,A7,Automatic,1998,Petrol,Internal Combustion Engine (ICE),300,221,,,,,Euro 6 EC,False,WLTP,25.9,36.2,42.8,37.2,36.7,0,10.9,7.8,6.6,7.6,7.7,0,185,0,,,,,85,9,12,,0.72,,,67.0,26 November 2025,
BMW,X2,X2 sDrive20i M Sport,A7,Automatic,1499,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),170,125,,,,,Euro 6 EC,False,WLTP,34.8,46.3,51.3,43.4,44.8,0,8.1,6.1,5.5,6.5,6.3,0,131,0,,,,,133,7,4,,0.46,,,66.0,26 November 2025,
BMW,X2,X2 sDrive20i M Sport,A7,Automatic,1499,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),170,125,,,,,Euro 6 EC,False,WLTP,37.2,51.4,56.5,47.1,48.7,0,7.6,5.5,5,6,5.8,0,143,0,,,,,133,7,4,,0.46,,,66.0,26 November 2025,
BMW,X2,X2 M35i xDrive,A7,Automatic,1998,Petrol,Internal Combustion Engine (ICE),300,221,,,,,Euro 6 EC,False,WLTP,25.2,34.4,39.7,34.8,34.4,0,11.2,8.2,7.1,8.1,8.2,0,174,0,,,,,85,9,12,,0.72,,,67.0,26 November 2025,
BMW,X2,X2 M35i xDrive,A7,Automatic,1998,Petrol,Internal Combustion Engine (ICE),300,221,,,,,Euro 6 EC,False,WLTP,25.9,36.2,43.5,37.7,36.7,0,10.9,7.8,6.5,7.5,7.7,0,186,0,,,,,85,9,12,,0.72,,,67.0,26 November 2025,
BMW,X3,X3 20 xDrive xLine,A8,Automatic,1998,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),208,153,,,,,Euro 6 EC,False,WLTP,29.7,43.4,45.5,37.6,39.2,0,9.5,6.5,6.2,7.5,7.2,0,156,0,,,,,147,10,8,,0.69,,,66.0,26 November 2025,
BMW,X3,X3 20 xDrive xLine,A8,Automatic,1998,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),208,153,,,,,Euro 6 EC,False,WLTP,30.7,44.8,47.1,39.2,40.9,0,9.2,6.3,6,7.2,6.9,0,163,0,,,,,147,10,8,,0.69,,,66.0,26 November 2025,
BMW,X3,X3 20 xDrive M Sport,A8,Automatic,1998,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),208,153,,,,,Euro 6 EC,False,WLTP,29.7,42.8,45.5,37.1,39.2,0,9.5,6.6,6.2,7.6,7.2,0,159,0,,,,,147,10,8,,0.69,,,66.0,26 November 2025,
